Hydrophone 1,Hydrophone 2,Hydrophone 3,Hydrophone 4,Hydrophone 5
-37,-42,-43,-42,-43
-54,-42,-42,-41,-44
-39,-42,-42,-41,-43
-70,-42,-42,-41,-43
-49,-42,-43,-41,-42
-44,-42,-42,-42,-44
-16,-42,-42,-41,-43
-35,-42,-42,-42,-43
-44,-41,-42,-42,-43
-46,-43,-42,-41,-44
-53,-42,-43,-42,-43
-48,-42,-42,-42,-43
-47,-42,-42,-43,-43
-35,-43,-43,-42,-43
-25,-42,-43,-42,-43
-50,-42,-42,-42,-43
-33,-41,-42,-41,-43
-73,-42,-42,-42,-42
-48,-41,-42,-41,-43
-54,-42,-42,-42,-43
-46,-42,-43,-42,-43
-31,-42,-42,-42,-44
-45,-42,-42,-41,-43
4,-42,-43,-42,-43
-27,-44,-43,-42,-43
-59,-42,-42,-41,-43
-55,-42,-42,-42,-43
-58,-42,-42,-42,-43
-7,-42,-42,-42,-42
-33,-42,-42,-42,-43
-28,-42,-42,-41,-43
-29,-42,-42,-42,-43
-49,-41,-41,-41,-44
-51,-42,-43,-41,-43
-85,-42,-42,-41,-43
-36,-42,-42,-41,-43
-13,-42,-42,-41,-43
-47,-42,-42,-42,-44
-31,-42,-42,-41,-43
-43,-42,-42,-41,-43
-47,-42,-43,-41,-43
-76,-42,-42,-42,-43
-44,-42,-42,-42,-43
-33,-42,-43,-42,-43
-49,-43,-43,-42,-43
-35,-43,-42,-42,-43
-36,-42,-42,-41,-43
-33,-42,-42,-41,-43
-43,-41,-42,-41,-44
-59,-42,-42,-41,-43
-47,-42,-42,-41,-43
-47,-42,-43,-42,-42
-20,-42,-42,-42,-43
-37,-42,-42,-42,-43
-32,-42,-42,-41,-43
-38,-42,-42,-41,-43
-43,-43,-42,-41,-42
-43,-42,-42,-42,-43
-68,-42,-42,-41,-43
-37,-42,-42,-41,-42
-42,-42,-43,-42,-43
-54,-42,-42,-41,-43
-24,-42,-43,-41,-43
-53,-42,-42,-41,-43
-42,-42,-42,-43,-43
-70,-42,-42,-41,-43
-47,-42,-43,-42,-43
-42,-42,-42,-42,-44
-53,-42,-43,-41,-43
16,-41,-42,-42,-43
-29,-44,-42,-42,-42
-38,-42,-42,-42,-43
-53,-42,-42,-41,-43
-59,-42,-42,-42,-43
-44,-42,-43,-42,-43
-47,-42,-42,-41,-43
-24,-42,-43,-42,-43
-34,-42,-42,-42,-43
-35,-42,-42,-42,-43
-47,-41,-42,-41,-43
-79,-42,-42,-41,-43
-34,-42,-42,-42,-43
-59,-42,-42,-41,-43
-50,-43,-42,-41,-42
-34,-42,-42,-42,-43
-5,-42,-41,-41,-43
-31,-42,-42,-42,-43
-63,-41,-42,-41,-44
-45,-42,-42,-41,-43
-54,-42,-42,-41,-43
-56,-42,-43,-41,-43
-49,-42,-42,-42,-43
-33,-42,-42,-41,-43
1,-42,-42,-41,-43
-43,-44,-42,-42,-43
-47,-42,-42,-41,-43
-47,-43,-42,-42,-43
-57,-42,-42,-42,-43
-49,-42,-42,-41,-43
-43,-42,-42,-41,-43
-23,-42,-42,-41,-43
-43,-42,-42,-42,-43
-41,-42,-42,-41,-43
-37,-42,-43,-41,-42
-69,-42,-42,-41,-43
-43,-41,-42,-41,-44
-61,-42,-43,-42,-43
